lat,lon,title,type,link 
54.25,18.63,Pruszcz Batalionów Chłopskich,Autobus,
54.39,18.6,Skarżyńskiego,Autobus,
54.36,18.56,Karskiego,Autobus,
54.26,18.64,Pruszcz Waląga,Autobus,
54.36,18.56,Karskiego,Autobus,
54.24,18.62,Pruszcz Rondo Kociewskie,Autobus,
54.26,18.65,Pruszcz Niemcewicza,Autobus,
54.33,18.61,Platynowa,Autobus,
54.26,18.65,Pruszcz Niemcewicza,Autobus,
54.38,18.48,Firoga,Autobus,
54.26,18.66,Pruszcz Sienkiewicza,Autobus,
54.38,18.48,Terminal - Cargo (N/Ż),Autobus,
54.38,18.48,Terminal - Cargo (N/Ż),Autobus,
54.43,18.48,Odyseusza (N/Ż),Autobus,
54.39,18.6,Skarżyńskiego,Autobus,
54.39,18.6,"SDO ""Złota Jesień"" (N/Ż)",Autobus,
54.36,18.59,Belgradzka (N/Ż),Autobus,
54.37,18.61,Sobótki,Autobus,
54.35,18.59,Piekarnicza,Autobus,
54.35,18.59,Piekarnicza,Autobus,
54.35,18.51,Gostyńska Szpital (N/Ż),Autobus,
54.26,18.67,Pruszcz Reymonta (N/Ż),Autobus,
54.35,18.51,Gostyńska Szpital (N/Ż),Autobus,
54.35,18.54,Życzliwa,Autobus,
54.26,18.66,Pruszcz Emilii Plater,Autobus,
54.35,18.53,Życzliwa,Autobus,
54.26,18.66,Pruszcz Powstańców Warszawy (N/Ż),Autobus,
54.41,18.57,Oliwa PKP,Autobus,
54.34,18.61,Cieszyńskiego,Autobus,
54.41,18.57,Oliwa PKP,Autobus,
54.26,18.65,Pruszcz Dąbrowskiego,Autobus,
54.26,18.65,Pruszcz Drzymały,Autobus,
54.43,18.59,Bursztynowa (N/Ż),Autobus,
54.43,18.59,Bursztynowa (N/Ż),Autobus,
54.35,18.49,Kokoszki (N/Ż),Autobus,
54.36,18.46,Grzybowa (N/Ż),Autobus,
54.36,18.69,Sucharskiego,Autobus,
54.38,18.63,Kliniczna,Autobus,
54.38,18.63,Kliniczna,Autobus,
54.34,18.67,Na Szańcach,Autobus,
54.32,18.55,Przywidzka,Autobus,
54.33,18.55,Przywidzka,Autobus,
54.33,18.55,Szadółki,Autobus,
54.33,18.55,Szadółki,Autobus,
54.34,18.66,Dobra (N/Ż),Autobus,
54.34,18.56,Jaworowa,Autobus,
54.34,18.56,Jaworowa,Autobus,
54.33,18.56,Jeziorowa,Autobus,
54.33,18.56,Jeziorowa,Autobus,
54.42,18.46,Przesypownia (N/Ż),Autobus,
54.34,18.56,Pólnicy,Autobus,
54.34,18.66,Kamienna Grobla,Autobus,
54.34,18.66,Akademia Muzyczna,Autobus,
54.34,18.66,Akademia Muzyczna,Autobus,
54.34,18.68,Dworkowa,Autobus,
54.37,18.46,Bysewo,Autobus,
54.37,18.46,Bysewo,Autobus,
54.33,18.93,Świbnieńska II (N/Ż),Autobus,
54.33,18.93,Świbnieńska II (N/Ż),Autobus,
54.4,18.62,Grudziądzka,Autobus,
